,Year,Panel,Category,Proposal,Project,Role,FirstName,Initials,Surname,Gender
140,2008,ESA,STD,08-UOA-090,Magma forensics at New Zealand's supervolcanoes,AI,Bruce,BLA,Charlier,M
650,2010,CMP,STD,10-AGR-012,A marriage of mechanisms: How is an ancient nutrient sensitive growth control mechanism coupled with multicellular programmes of development?,PI,Bruce,BE,Veit,M
1851,2014,EEB,STD,14-UOO-231,Are genetic shifts in dispersal ability key to resolving the “paradox of the great speciators”?,PI,Bruce,BC,Robertson,M
2349,2015,SOC,FS,15-UOW-013,The influence of early-Maori and ahumoana tawhito (ancient aquaculture) on the toheroa of today,AI,Bruce,BG,McFadgen,M
2694,2017,BMS,STD,17-UOO-241,Unraveling the molecular basis for vivax malaria's unhealthy attraction to human reticulocytes,PI,Bruce,BM,Russell,M
782,2010,ESA,STD,10-GNS-029,"Uncorking the hydrate bottle: Release of methane from melting gas hydrates during glacial cycles on the Chatham Rise, New Zealand",AI,Bryan,BW,Davy,M
970,2011,EEB,STD,11-LCR-004,"Superspreading and supershedding: integrating contrasting hypotheses for infectious disease transmission, emergence and persistence",AI,Bryce,BM,Buddle,F
2830,2017,EIS,STD,17-UOA-187,Why do texturally complex foods lead us to eat less?,PI,Bryony,BJ,James,M
526,2009,MIS,FS,09-VUW-027,Iwasawa theory for supersingular primes,PI,Byoung Du,BD,Kim,M
2931,2017,ESA,FS,17-VUW-121,The straw that didn’t break the camel’s back: what variations in stressing-rate can faults withstand?,PI,Calum,CJ,Chamberlain,M
157,2008,ESA,STD,08-UOO-052,Probing the memory of quartz sediment,AI,Candace,CE,Martin,F
752,2010,EIS,STD,10-UOC-020,Understanding and improving the transition from novice to expert performance with user interfaces,AI,Carl,CA,Gutwin,M
2247,2015,ESA,FS,15-GNS-002,Do softer rocks and fluids control earthquake behaviour? Probing the Hikurangi subduction mega-thrust using full-waveform inversion,AI,Carl,CH,Tape,M
2732,2017,CMP,FS,17-MAU-100,Making the switch: cell surface modifications that enable plant-pathogenic fungi to differentiate and maintain infection-related cellular morphotypes during host colonization,PI,Carl,CH,Mesarich,M
1154,2011,PCB,FS,11-UOO-232,Shape-controlled magnetic nanoparticles for biomedical applications,PI,Carla,CJ,Meledandri,F
1479,2013,CMP,FS,13-MAU-013,A radical lipid link for symbiosis,PI,Carla,CJ,Eaton,F
1728,2013,PCB,STD,13-UOO-004,"Designer spin crossover: towards nanoswitches, sensors and displays",AI,Carla,CJ,Meledandri,F
2341,2015,SOC,STD,15-UOA-316,How great can we be? Identity leaders of the Maori economic renaissance,PI,Carla,CA,Houkamau,F
191,2008,MIS,STD,08-MAU-033,Complexity reduction in neural models,PI,Carlo,CR,Laing,M
2402,2016,CMP,FS,16-GNS-035,Methanotroph's dirty little secret: they are not metabolically monogamous!,PI,Carlo,CR,Carere,M
2955,2017,MIS,STD,17-MAU-054,Function from structure: accurate reduced models of neuronal networks,PI,Carlo,CR,Laing,M
714,2010,EEB,FS,10-MNZ-002,Does every spider orchid in NZ have its fungus gnat? Evaluating the role of plant-insect pollinator interaction in the diversification of sympatric cytotypes of Nematoceras trilobum,PI,Carlos,CA,Lehnebach,M
2647,2016,SOC,STD,16-VUW-053,War and peace in the Nursery: How do young children negotiate conflict to establish belonging and well-being in a multi-ethnic NZ early childhood centre?,PI,Carmen,MC,Dalli,F
2385,2016,CMP,STD,16-UOA-175,Making receptors fly: using mass spectrometry to reveal mechanisms of G protein-coupled receptor function,AI,Carol,CV,Robinson,F
1627,2013,ESA,STD,13-VUW-101,Locked and loaded? Effects of deep seismic and aseismic deformation on Alpine Fault earthquakes,AI,Carolin,CM,Boese,F
645,2010,BMS,FS,10-UOO-009,Neurogenesis and postpartum anxiety,PI,Caroline,CM,Larsen,F
1300,2012,ESA,STD,12-GNS-003,Earthquake hydrology: seismic pumps or broken pipes?,AI,Caroline,C,Holden,F
1673,2013,HUM,STD,13-UOA-062,On the forge: the role of the international judge and arbitrator in the 21st century,PI,Caroline,CE,Foster,F
1617,2013,ESA,STD,13-VUW-010,Using the world's most rapidly slipping normal fault to understand the mechanics of low-angle normal faults and the dynamics of continental extension,AI,Carolyn,CJ,Boulton,F
1835,2014,EEB,STD,14-MAU-007,When genomes collide: how allopolyploids respond to genome shock,AI,Carolyn,CA,Young,F
2672,2017,BMS,STD,17-UOA-206,Defending blood flow to the Selfish Brain,AI,Carolyn,CJ,Barrett,F
108,2008,EHB,STD,08-VDV-001,What is happening in the brain during micro-sleeps?,AI,Carrie,CR,Innes,F
977,2011,EEB,STD,11-NIW-011,Spatial organisation of species distributions in coastal seascapes,AI,Carsten,CF,Dormann,M
1983,2014,HUM,FS,14-VUW-025,Exploring Maori legal traditions,PI,Carwyn,CH,Jones,F
1248,2012,EEB,FS,12-UOA-057,Ready for climate change? The ecophysiology of New Zealand kauri (Agathis australis) forests,PI,Cate,CMO,Macinnis-Ng,F
2192,2015,EIS,STD,15-UOA-032,A human neural chip platform for in vitro neuroscientific discovery,AI,Cather,MC,Simpson,F
43,2008,CMP,STD,08-UOO-076,Bridging the 50 Å ubiquitin gap,PI,Catherine,CL,Day,F
271,2008,SOC,FS,08-UOW-002,Engaging women and migrants in public policy making,AI,Catherine,C,Kingfisher,F
718,2010,EHB,STD,10-UOC-083,Early factors in childhood communication disorders,AI,Catherine,CA,Moran,F
926,2010,SOC,FS,10-VUW-158,The rights of soldiers and the politics of citizenship,PI,Catherine,CJ,Trundle,F
956,2011,CMP,STD,11-UOO-212,E2s and the regulation of ubiquitin transfer,PI,Catherine,CL,Day,F
1126,2011,MIS,STD,11-UOW-046,A self-correcting knowledge base for large-scale knowledge engineering,AI,Catherine,CW,Legg,F
1891,2014,EHB,FS,14-UOC-033,Unravelling the neural mechanisms of speech production: insights from EEG and fMRI in people who stutter,PI,Catherine,C,Theys,F
1892,2014,EHB,FS,14-UOO-183,Dressing for survival and success: what pre-European Maori wore for adaptive realisation,PI,Catherine,CA,Smith,F
2265,2015,HUM,STD,15-VUW-004,Rethinking language change in a super-diverse city,PI,Catherine,CI,Watson,F
2851,2017,EIS,FS,17-MAU-117,Encapsulation of an aqueous liquid in a drop of aqueous liquid,AI,Catherine,CP,Whitby,F
3011,2017,SOC,STD,17-MAU-028,What counts as consent? Sexuality and ethical deliberation in residential aged care,AI,Catherine,CM,Cook,F
3045,2017,SOC,STD,17-UOO-061,Whakaarahia anō te rā kaihau! Raise up again the billowing sail! Revitalising cultural knowledge through analysis of Te Rā,PI,Catherine,CA,Smith,F
2117,2015,CMP,FS,15-PAF-001,Evolution of a gene silencing mechanism contributing to speciation,AI,Cathie,CR,Martin,F
2546,2016,ESA,FS,16-VUW-105,Finding the needle by removing the haystack: modeling diffuse foregrounds to detect the Epoch of Reionization,PI,Cathie,QC,Zheng,F
270,2008,SOC,STD,08-UOO-167,"Migration, ethnicity, and asylums in New Zealand and Australia 1860-1910",PI,Cathy,CS,Coleborne,F
301,2009,BMS,FS,09-UOA-067,Teaching an old brain new tricks,AI,Cathy,CM,Stinear,F
394,2009,EEB,STD,09-UOO-175,Ocean acidification: calcifiers are only the tip of the iceberg,PI,Catriona,CL,Hurd,F
1948,2014,ESA,STD,14-VUW-090,Swings and roundabouts? What drives opposing trends in sea ice between the Ross and Amundsen Seas?,AI,Cecilia,CM,Bitz,F
1838,2014,EEB,STD,14-MAU-050,Lineage selection and the evolution of cancer,AI,Chaitanya,CS,Gokhale,F
25,2008,BMS,FS,08-UOA-018,Rebuilding the cornea by cell transplantation,AI,Charles,CNJ,McGhee,M
438,2009,ESA,STD,09-GNS-018,Subduction's slippery slope: how fluid flow controls fault behaviour on the subduction interface,AI,Charles,CA,Williams,M
466,2009,ESA,STD,09-VUW-028,Ruamoko's rumbles: understanding magma movement and time varying seismic properties,AI,Charles,CA,Williams,M
515,2009,MIS,STD,09-UOC-008,New mathematical tools to unravel complex ancestry,PI,Charles,CA,Semple,M
717,2010,EEB,FS,10-UOW-086,Microbial diversity in the extreme—Abiotically driven biocomplexity in the Antarctic Dry Valleys,PI,Charles,CK,Lee,M
1011,2011,EHB,STD,11-UOO-022,Dating the prehistory of Southern China and Southeast Asia,PI,Charles,CFW,Higham,M
1353,2012,MIS,STD,12-UOC-016,Genetic jigsaws with missing pieces: mathematical challenges for piecing together evolution from patchy taxon coverage.,PI,Charles,CA,Semple,M
1884,2014,EHB,STD,14-VUW-115,Developmental reversals in children's false memories for experienced events,AI,Charles,CJ,Brainerd,M
2169,2015,EHB,STD,15-UOO-018,The origins of social inequality in Southeast Asia: an exploration of health and wealth disparity at the emergence of state level society,PI,Charles,CFW,Higham,M
2195,2015,EIS,STD,15-UOA-032,A human neural chip platform for in vitro neuroscientific discovery,PI,Charles,CP,Unsworth,M
2295,2015,MIS,FS,15-UOA-037,Lost in space? New mathematical tools to analyse and search spaces of phylogenetic networks,AI,Charles,CA,Semple,M
2376,2016,BMS,FS,16-UOA-227,Determining the potential of the corneal Transition Zone as corneal endothelial transplants,AI,Charles,CNJ,McGhee,M
2395,2016,CMP,STD,16-UOO-207,Silencing unwanted expression in molecular circuits using naturally evolved solutions,AI,Charles,CS,Bond,M
2773,2017,EEB,STD,17-UOW-026,From Geothermal Hot Springs to Microbial Gene Pools: Explaining Intra-Species Genomic Variations in Bacteria,PI,Charles,CK,Lee,M
2843,2017,EIS,STD,17-VUW-096,Training multiplexed electronic aptasensors to profile hormones in complex samples,AI,Charles,CP,Unsworth,M
2967,2017,MIS,STD,17-UOC-015,The Combinatorics of Reticulate Evolution,PI,Charles,CA,Semple,M
2811,2017,EHB,STD,17-VUW-142,"Developmental changes in children's learning and application of ""ground rules"" during interviews about past experiences",AI,Charlie,C,Lewis,M
1749,2013,SOC,STD,13-UOA-137,Is New Zealand betting on the wrong horse in the international innovation race? The importance of market innovations for small open economies,AI,Charlotta,CM,Windahl,F
1681,2013,HUM,FS,13-UOA-228,Researching ourselves: social surveys in New Zealand,PI,Charlotte,CM,Greenhalgh,F
1977,2014,HUM,STD,14-VUW-146,"Tinker, tailor, soldier, settler: garrison and empire in the nineteenth century",PI,Charlotte,CJ,Macdonald,F
2162,2015,EHB,STD,15-UOO-018,The origins of social inequality in Southeast Asia: an exploration of health and wealth disparity at the emergence of state level society,AI,Charlotte,CL,King,F
2819,2017,EHB,FS,17-UOO-149,Planting the Soil and Panning for Gold: Exploring the dynamics of colonial life in Otago,PI,Charlotte,CL,King,F
2383,2016,CMP,STD,16-UOA-123,"Mum, you are what your babies make you!",AI,Cherie,C,Blenkiron,F
1254,2012,EHB,STD,12-UOA-254,The imaginative brain: neural networks supporting flexible future thinking,AI,Cheryl,CL,Grady,F
3054,2017,SOC,STD,17-UOO-207,"Eviction and its consequences: representation, discourse and reality",AI,Cheryl,CA,Davies,F
433,2009,EHB,STD,09-UOO-164,"First contact: environmental shifts, faunal collapse and the Polynesian settlement of New Zealand",PI,Chris,C,Jacomb,M
589,2009,SOC,STD,09-UOA-091,Biological economies: knowing and making new rural value relations,AI,Chris,C,Rosin,M
779,2010,ESA,STD,10-GNS-023,Shedding light on a fundamental geochemical process: Synchrotron investigation of geomicrobiological controls on metal and metalloid ion immobilisation,AI,Chris,CG,Weisener,M
922,2010,SOC,FS,10-UOO-226,Knowledge interfacing and power sharing in co-management: a comparative analysis,PI,Chris,CL,Jacobson,M
1110,2011,HUM,FS,11-UOA-061,"Experience, rationality, and the way things seem",PI,Chris,CS,Tucker,M
1326,2012,ESA,FS,12-VUW-111,Will the East Antarctic ice-sheet contribute to global sea-level rise under warmer-world scenarios?,AI,Chris,C W,Fogwill,M
1539,2013,EHB,STD,13-UOO-181,Maximising success in a new land: the role of Wairau Bar in the systematic colonisation of New Zealand by Polynesians,AI,Chris,C,Jacomb,M
2339,2015,SOC,STD,15-UOA-316,How great can we be? Identity leaders of the Maori economic renaissance,AI,Chris,CG,Sibley,M
2400,2016,CMP,FS,16-GNS-035,Methanotroph's dirty little secret: they are not metabolically monogamous!,AI,Chris,CA,Greening,M
2466,2016,EHB,STD,16-UOA-261,The making of Maori society: an archaeological analysis of social networks and geo-political interaction.,AI,Chris,CM,Stevenson,M
2799,2017,EHB,STD,17-UOA-074,Political gaming: using economic games to explore the foundations of political ideology,AI,Chris,CG,Sibley,M
992,2011,EEB,FS,11-UOC-081,"The importance of cospeciation, host-switching, and geographic isolation in the evolutionary history of a vine and its parasite",AI,Chrissen,CEC,Gemmill,F
2669,2016,SOC,FS,16-VUW-156,Stretching the celluloid ceiling: women's creative agency in the emergent Pacific film industry.,AI,Christiaan,C,De Beukelaer,M
32,2008,CMP,STD,08-UOA-041,The new nanobiology: seeing signal transduction with greater clarity,PI,Christian,CS,Soeller,M
649,2010,CMP,STD,10-AGR-012,A marriage of mechanisms: How is an ancient nutrient sensitive growth control mechanism coupled with multicellular programmes of development?,AI,Christian,C,Meyer,M
793,2010,ESA,STD,10-GNS-029,"Uncorking the hydrate bottle: Release of methane from melting gas hydrates during glacial cycles on the Chatham Rise, New Zealand",AI,Christian,C,Berndt,M
1036,2011,EIS,FS,11-UOA-276,Combining laser scanning with molecular resolution: rapid live cell imaging at the nanometre scale,AI,Christian,CS,Soeller,M
1443,2013,BMS,STD,13-UOO-200,Tying knots in proteins with chlorine bleach: novel post-translational modifications catalysed by mammalian peroxidases,AI,Christian,C,Obinger,M
1534,2013,EEB,FS,13-VUW-201,A novel system for sympatric speciation: a species flock of green algae from ancient Lake Baikal,PI,Christian,C,Boedeker,M
1717,2013,PCB,STD,13-IRL-005,Dipoles of charge or spin: what is the pairing mechanism in HTS cuprates?,AI,Christian,C,Bernhard,M
2926,2017,ESA,FS,17-UOC-103,The solution to the Southern Ocean's sea ice mystery - its thickness,AI,Christian,C,Haas,M
2988,2017,PCB,STD,17-UOA-168,"Blossoming of Bioinspired Supramolecular Architectures: Towards Applications in Catalysis, Drug Delivery and Materials Science",PI,Christian,CG,Hartinger,M
358,2009,EEB,STD,09-AGR-003,How air affects mutation and adaptation - a dissection of the evolutionary process,PI,Christina,CD,Moon,F
1662,2013,ESA,FS,13-UOO-189,"Windows onto warmer worlds: sea ice, nutrient utilisation, and primary production on the Wilkes Land margin, Antarctica",PI,Christina,CR,Riesselman,F
1663,2013,ESA,FS,13-VUW-098,Can ice sheets help themselves? Investigating self-stabilisation and instability in Antarctica,AI,Christina,CL,Hulbe,F
2883,2017,ESA,STD,17-UOO-052,Stretching ice to the limit: New flow laws for ice sheets,AI,Christina,CL,Hulbe,F
39,2008,CMP,STD,08-UOO-054,Deciphering the role of peroxiredoxins in the cellular response to oxidative stress,PI,Christine,CC,Winterbourn,F
315,2009,CMP,STD,09-AGR-029,Breaking the mould: a novel mechanism of hyphal growth in fungal symbionts of grasses,PI,Christine,CR,Voisey,F
578,2009,SOC,STD,09-MAU-117,"Young adults, drinking stories and the cult of celebrity",AI,Christine,CE,Griffin,F
737,2010,EHB,FS,10-UOA-135,Raising teacher expectations and enhancing student achievement: an intervention study,PI,Christine,CM,Rubie-Davies,F
898,2010,SOC,STD,10-UOA-208,Transformations of entrepreneurial tribal Maori leadership,AI,Christine,CR,Woods,F
940,2011,BMS,STD,11-UOO-200,The genetic basis of independent movements of the left and right hands,AI,Christine,CL,Jasoni,F
1447,2013,BMS,STD,13-UOO-200,Tying knots in proteins with chlorine bleach: novel post-translational modifications catalysed by mammalian peroxidases,PI,Christine,CC,Winterbourn,F
2085,2015,BMS,STD,15-UOO-100,Exposed: does a leaky blood-brain barrier elevate the risk for obesity in the offspring of obese mothers?,PI,Christine,CL,Jasoni,F
2630,2016,SOC,STD,16-UOA-118,Power Politics: Electricity and Sustainability in Post-Disaster Ōtautahi (Christchurch),AI,Christine,CM,Kenney,F
2684,2017,BMS,STD,17-UOO-086,Investigating the role of peroxiredoxin redox relays in cell signalling,AI,Christine,CC,Winterbourn,F
3035,2017,SOC,STD,17-UOA-229,Tāngata Tiriti: Learning the trick of standing upright here,PI,Christine,CR,Woods,F
3067,2017,SOC,FS,17-MAU-048,"Māori, Catastrophic Events, and Collective Development of Culture-based Disaster Management Theory and Practice",PI,Christine,CM,Kenney,F
521,2009,MIS,FS,09-UOA-019,Algebra for user interface customisation,PI,Christof,C,Lutteroth,M
1320,2012,ESA,FS,12-GNS-028,Fingerprinting geothermal fluids: tracking the magmatic signature,AI,Christoph,CA,Heinrich,M
183,2008,MIS,STD,08-IRL-001,What are the correct boundary conditions for fluid dynamics?,AI,Christophe,C,Ybert,M
303,2009,BMS,FS,09-UOA-127,Human anti-platelet auto-antibodies - are we overlooking their protective function?,AI,Christopher,CM,Ward,M
512,2009,MIS,STD,09-UOA-031,Efficient analysis with biased samples,PI,Christopher,CJ,Wild,M
544,2009,PSE,STD,09-UOC-012,Probing metal oxide surfaces: investigating the origins of electron accumulation,AI,Christopher,C.F.,McConville,M
561,2009,PSE,STD,09-UOO-093,The quantum dipole gas,AI,Christopher,C,Ticknor,M
677,2010,CMP,FS,10-LIU-016,Overcoming plant immune responses - the key to fungal symbiosis,AI,Christopher,CM,Brown,M
781,2010,ESA,STD,10-GNS-023,Shedding light on a fundamental geochemical process: Synchrotron investigation of geomicrobiological controls on metal and metalloid ion immobilisation,PI,Christopher,CJ,Daughney,M
1097,2011,ESA,FS,11-UOO-195,The winds of change: evaluating New Zealand’s hydrologic response to changing Southern Hemisphere westerly winds,PI,Christopher,CM,Moy,M
1104,2011,HUM,STD,11-UOO-016,The machinery of transcendence: unattended moments in the Modernist tradition,PI,Christopher,CJ,Ackerley,M
1137,2011,PCB,STD,11-UOA-100,The determination of protein structure by racemic protein crystallography,AI,Christopher,CJ,Squire,M
1299,2012,ESA,STD,12-GNS-001,Surviving in the Eocene ocean: the unbearable warmness of being,PI,Christopher,CJ,Hollis,M
1348,2012,MIS,STD,12-UOA-178,Statistical methods for complex samples,PI,Christopher,CJ,Wild,M
1601,2013,ESA,STD,13-GNS-016,"New Zealand's stormy past: resolving changes in South Island precipitation under varying influence of tropical and polar forcing over the past 17,000 years",AI,Christopher,CM,Moy,M
1612,2013,ESA,STD,13-UOO-169,Global ocean anoxia during ancient 'greenhouse' climates: prospects for a warming world,AI,Christopher,CM,Moy,M
1675,2013,HUM,STD,13-UOA-279,From Vocalism to Nominalism: the twelfth century Parisian schools of philosophy and their logics,PI,Christopher,CJ,Martin,M
1795,2014,BMS,STD,14-UOA-251,Treating cutaneous inflammation by putting skin on a fat-free diet,PI,Christopher,CJ,Hall,M
1822,2014,CMP,STD,14-UOO-009,Primed for action: bacterial adaptive immunity,AI,Christopher,CM,Brown,M
2023,2014,PCB,STD,14-UOA-113,Probing the chemistry of novel protein crosslinks,PI,Christopher,CJ,Squire,M
2091,2015,BMS,FS,15-UOA-157,Good riddance to bad rubbish: waste disposal in motor neuron disease,AI,Christopher,CE,Shaw,M
2096,2015,CMP,STD,15-MAU-148,A chemical cue for fungal-plant symbiosis,AI,Christopher,CL,Schardl,M
2407,2016,CMP,FS,16-UOA-143,Naturally biased? Exploring neuropeptide signal pathway bias in neurons.,PI,Christopher,CS,Walker,M
2431,2016,EEB,STD,16-UOW-029,Using New Zealand's divaricate plants to test a new hypothesis about the evolution of anti-browsing defences,PI,Christopher,CH,Lusk,M
2663,2016,SOC,FS,16-UOO-088,Acute Mental Health Wards: Therapeutic Spaces or Stigmatising Places ?,AI,Christopher,CG,Watson,M
2862,2017,EIS,FS,17-UOC-072,A hybrid 3D-1D framework for site-specific seismic response analysis,PI,Christopher,CR,McGann,M
2991,2017,PCB,STD,17-UOC-064,Tailored environments for highly active and stable electrocatalysts,AI,Christopher,CM,Fitchett,M
1917,2014,EIS,FS,14-VUW-026,An optical omniscope with 20/20 microvision: imaging the near- and far-fields simultaneously,PI,Ciaran,CP,Moore,M
229,2008,PSE,STD,08-VUW-030,Strongly correlated electrons in rare-earth nitrides,AI,Claire,C,Meyer,F
989,2011,EEB,FS,11-UOA-054,A mathematical model of animal navigation,PI,Claire,CM,Postlethwaite,F
1403,2012,SOC,STD,12-UOO-140,Natural neighbourhoods for city children,PI,Claire,C,Freeman,F
2957,2017,MIS,STD,17-UOA-096,Noisy networks: understanding how stochasticity affects mathematical models of cognitive systems,PI,Claire,CM,Postlethwaite,F
13,2008,BMS,STD,08-UOO-070,Multi-purpose mechanisms for preservation of nerve cell function,AI,Clarke,CR,Raymond,M
1043,2011,EIS,FS,11-UOC-105,"Self-propelling, coalescing droplets",AI,Claude,C,Verdier,M
1291,2012,ESA,STD,12-GNS-001,Surviving in the Eocene ocean: the unbearable warmness of being,AI,Claudia,C,Agnini,F
1680,2013,HUM,STD,13-VUW-196,New Zealand Bill of Rights Act under the microscope,PI,Claudia,C,Geiringer,F
2747,2017,EEB,STD,17-MAU-044,Improved modelling in evolutionary transcriptomics and proteomics will advance understanding of plant adaptation,AI,Claudia,C,Voelckel,F
1073,2011,ESA,STD,11-UOO-077,From soils to seas: how does the long-term fate of aerosol iron impact on ocean productivity and global climate?,AI,Claudine,CH,Stirling,F
1616,2013,ESA,STD,13-UOO-169,Global ocean anoxia during ancient 'greenhouse' climates: prospects for a warming world,PI,Claudine,CH,Stirling,F
2229,2015,ESA,STD,15-UOA-265,Putting the Pacific Ocean to the litmus test: resolving a multi-millennial record of ocean pH from corals with the boron isotope proxy,AI,Claudine,CH,Stirling,F
2255,2015,ESA,FS,15-UOO-070,The ice is melting: how do trace metals in the ocean influence the Antarctic marine ecosystem and global climate?,AI,Claudine,CH,Stirling,F
2540,2016,ESA,FS,16-UOO-110,How does the Earth stop Global Warming? Testing climate stabilisation during ‘hyperthermal’ events.,AI,Claudine,CH,Stirling,F
2892,2017,ESA,STD,17-UOO-131,How does the Earth stop global warming? Testing climate stabilisation during ‘hyperthermal’ events,PI,Claudine,CH,Stirling,F
2914,2017,ESA,FS,17-NIW-005,Southern Ocean fronts - Still an un(re)solved mystery!,AI,Claus,CW,Böning,M
841,2010,HUM,FS,10-UOC-108,The development of computational procedures and numerical tables in Sanskrit mathematics in the second millennium,PI,Clemency,CJ,Montelle,F
982,2011,EEB,STD,11-UOO-021,Network analysis of parasitism within food webs,AI,Clément,C,Lagrue,M
692,2010,EEB,STD,10-NIW-009,Bacterial breakdown in a high-CO2 ocean,PI,Cliff,CS,Law,M
2122,2015,EEB,STD,15-MAU-132,Synergising ecology and evolution: discovering patterns of functional and phylogenetic diversity of New Zealand's marine fishes versus depth,PI,Clive,CD,Roberts,M
2397,2016,CMP,STD,16-UOO-207,Silencing unwanted expression in molecular circuits using naturally evolved solutions,PI,Clive,CW,Ronson,M
2847,2017,EIS,FS,17-MAU-029,Understanding friction in granular mixtures: an experimental and modelling study,AI,Clive,CE,Davies,M
144,2008,ESA,STD,08-UOA-090,Magma forensics at New Zealand's supervolcanoes,PI,Colin,CJN,Wilson,M
294,2009,BMS,STD,09-UOO-104,Hormonal regulation of bodyweight in reproduction,PI,Colin,CH,Brown,M
859,2010,MIS,STD,10-UOO-221,Sampling from probability distributions arising in inverse problems,PI,Colin,C,Fox,M
2362,2016,BMS,STD,16-UOO-005,Drinking for two: Central resetting of water balance in pregnancy and lactation,PI,Colin,CH,Brown,M
2520,2016,ESA,STD,16-UOA-333,Opening Nature's vaults: speleothem archives of volcanic eruptions,AI,Colin,CJN,Wilson,M
2871,2017,ESA,STD,17-NIW-017,Volcanoes can make waves too: a new understanding of tsunamis generated by volcanic eruptions,AI,Colin,CN,Whittaker,M
2844,2017,EIS,STD,17-VUW-096,Training multiplexed electronic aptasensors to profile hormones in complex samples,AI,Colleen,CA,Marlow,F
2205,2015,EIS,FS,15-PAF-002,Biosensing with insect odorant receptor proteins,PI,Colm,CJF,Carraher,M
2329,2015,SOC,STD,15-UOA-013,Te ao hou: transforming worlds in New Zealand 1900-1950,AI,Conal,CP,McCarthy,M
146,2008,ESA,STD,08-UOC-030,The music of the stars: internal structure revealed through the surface vibrations of stars,AI,Conny,CC,Aerts,F
1729,2013,PCB,STD,13-UOO-004,"Designer spin crossover: towards nanoswitches, sensors and displays",AI,Corine,C,Mathoniere,F
816,2010,ESA,FS,10-GNS-021,Losing the tops off submarine volcanoes: potential tsunami hazards,AI,Cornel,CEJ,de Ronde,M
2014,2014,MIS,FS,14-VUW-123,Numerical solution of time-dependent multi-dimensional nonlinear dispersive wave equations with applications to costal hydrodynamics,AI,Costas,C,Synolakis,M
91,2008,EEB,STD,08-UOW-042,"Life at the extreme: resolving the genetic basis of microbial endemism in the super-heated soils of Mt Erebus, Antarctica",PI,Craig,SC,Cary,M
402,2009,EEB,FS,09-UOA-105,Sound as an orientation cue: how far offshore can pre-settlement fish and crabs detect it from?,PI,Craig,CA,Radford,M
453,2009,ESA,STD,09-NIW-005,Double diffusion generated by vertical ice walls,PI,Craig,CL,Stevens,M
709,2010,EEB,STD,10-UOW-083,Elucidating the origin and ecology of TTX: the phantom marine toxin,PI,Craig,SC,Cary,M
715,2010,EEB,FS,10-UOW-086,Microbial diversity in the extreme—Abiotically driven biocomplexity in the Antarctic Dry Valleys,AI,Craig,SC,Cary,M
809,2010,ESA,STD,10-UOO-016,Evaluating the impact of excess ionisation on the atmosphere (EI EI A),PI,Craig,CJ,Rodger,M
908,2010,SOC,STD,10-UOW-020,Playing with reality? Online documentary culture and its users,PI,Craig,CA,Hight,M
1430,2013,BMS,STD,13-UOA-053,Identifying a zinc link in Autism Spectrum Disorders.,PI,Craig,CC,Garner,M
1569,2013,EIS,STD,13-NIW-003,Dilution of turbulent buoyant plumes: is it all in the how you turn the tap?,PI,Craig,CL,Stevens,M
2140,2015,EEB,STD,15-VUW-028,"Born at the right time?  Disentangling the effects of birthdate and developmental trajectories on fitness, population dynamics, and the evolution of life-history strategies",AI,Craig,CW,Osenberg,M
2175,2015,EHB,STD,15-UOO-169,"A genomic study of the people of Wairau Bar: health, history and origins of the first New Zealanders",AI,Craig,CD,Millar,M
2252,2015,ESA,FS,15-NIW-007,"Putting a lid on it: dynamic and thermodynamic effects of an active, multi-phase interfacial layer on boundary-layer interactions",AI,Craig,CL,Stevens,M
2482,2016,EIS,STD,16-ESR-001,A new approach to studying Legionella mobility and persistence in engineered water systems,AI,Craig,C,Billington,M
2771,2017,EEB,STD,17-UOW-026,From Geothermal Hot Springs to Microbial Gene Pools: Explaining Intra-Species Genomic Variations in Bacteria,AI,Craig,SC,Cary,M
2870,2017,ESA,STD,17-NIW-010,Ocean Mixing at High Reynolds Number: Efficiencies in Extrema,PI,Craig,CL,Stevens,M
1753,2013,SOC,STD,13-UOA-205,The Crown: perspectives on a contested symbol and its constitutional significance in New Zealand and the Commonwealth,PI,Crispin,C,Shore,M
1960,2014,ESA,FS,14-UOO-232,Slow creep or fast rupture in faults? Linking nature and experiment to understand the earthquake source,AI,Cristiano,C,Collettini,M
1789,2014,BMS,STD,14-UOA-121,An insect jumping gene to guide personalised cancer medicine,AI,Cristin,CG,Print,M
2163,2015,EHB,STD,15-UOO-018,The origins of social inequality in Southeast Asia: an exploration of health and wealth disparity at the emergence of state level society,AI,Cristina,CC,Castillo,F
296,2009,BMS,STD,09-UOO-138,Does stimulation of the vestibular inner ear enhance memory?,AI,Cynthia,CL,Darlington,F
1410,2012,SOC,STD,12-UOW-033,"Activism, technology and organising: transformations in collective action in Aotearoa New Zealand",AI,Cynthia,C,Stohl,F
327,2009,CMP,STD,09-PAF-008,Channelling scent: how insects smell using ligand-gated calcium channels,AI,Cyril,C,Hamiaux,M
1453,2013,CMP,STD,13-PAF-006,"DAD2, a hormone receptor that hydrolyses its ligand",AI,Cyril,C,Hamiaux,M
733,2010,EHB,STD,10-VUW-020,The power of the trivial: How do trivial images create immediate illusions of memories and beliefs?,AI,D. Stephen,DS,Lindsay,
2884,2017,ESA,STD,17-UOO-052,Stretching ice to the limit: New flow laws for ice sheets,AI,Daeyeong,D,Kim,M
